S.No.,Area No.,Dept No.,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly Average,Year
1.0,I,1,Kathivakkam,1.85,1.9,1.82,1.89,1.86,1.88,1.92,,1.87,1.74,1.339,1.601,1.788181818181818,2021
2.0,I,2,Kathivakkam,3.26,3.32,3.36,3.39,3.44,3.48,3.48,1.9,3.48,3.44,2.835,3.174,3.2132500000000004,2021
3.0,I,3,Ernavoor,2.17,2.26,2.37,2.34,2.26,2.29,2.39,3.47,2.35,2.11,1.434,1.881,2.2770833333333336,2021
4.0,I,4,Sadaiyankuppam,3.43,3.55,3.62,3.85,3.92,3.99,3.93,2.27,3.93,3.23,2.909,3.109,3.4781666666666666,2021
5.0,I,5,Kamadhenu Nagar,3.79,3.94,4.05,4.31,4.67,4.53,4.01,3.94,3.42,3.13,2.415,3.111,3.776333333333333,2021
6.0,I,6,Murugappa Nagar,1.45,1.62,1.71,1.8,1.9,1.96,1.97,3.34,1.91,1.82,0.972,1.31,1.8135000000000001,2021
7.0,I,7,Raja Shanmugam Nagar,2.05,2.25,2.33,2.53,2.56,2.48,1.77,1.9,1.66,1.54,0.641,1.32,1.91925,2021
8.0,I,8,Gandhinagar,4.3,4.39,4.44,4.51,4.57,4.62,4.98,4.76,4.61,4.53,3.754,3.958,4.451833333333333,2021
9.0,I,9,Amsa Thottam,6.55,6.82,7.02,7.24,7.36,7.47,7.25,7.25,7.22,7.04,5.765,6.125,6.925833333333334,2021
10.0,I,10,Chinna Mettupalaiyam,4.71,4.9,5.05,5.29,5.47,5.64,5.65,5.73,5.77,5.65,5.782,5.92,5.4635,2021
11.0,I,11,Ondikuppam,4.27,4.57,4.76,5.01,5.14,5.26,5.04,4.97,4.96,4.2,3.562,3.41,4.596,2021
12.0,I,12,Sathankadu,3.67,3.76,3.83,3.94,4.03,4.12,4.19,0.6,4.3,4.35,2.918,2.403,3.5092499999999998,2021
13.0,I,13,Thilagar Nagar,0.52,0.82,1.02,0.36,0.42,0.51,0.55,5.32,0.62,0.65,2.223,,1.1829999999999998,2021
14.0,I,14,Kaladipettai,5.1,5.21,5.28,5.39,5.45,5.57,5.38,5.34,5.34,5.22,,4.457,5.248818181818182,2021
15.0,I,15,Edayanchavadi,1.7,1.81,2.07,2.42,2.66,2.76,1.89,1.87,2.31,2.43,0.405,0.984,1.9424166666666665,2021
16.0,I,16,Sadayankuppam,1.28,1.87,2.12,2.57,2.86,2.94,2.41,2.5,2.68,2.46,,0.555,2.204090909090909,2021
17.0,I,17,Theeumpakkam,1.0,1.06,1.61,2.59,3.42,3.89,2.35,9.39,2.88,2.03,,0.355,2.7795454545454548,2021
18.0,I,18,Manali,3.21,5.53,4.53,4.96,7.7,7.92,7.02,7.67,5.61,6.24,0.556,1.704,5.220833333333334,2021
19.0,I,19,Chinna Mathur,7.43,7.71,7.91,8.9,9.2,9.82,9.06,10.32,9.33,9.25,4.741,4.669,8.195,2021
20.0,I,20,Mathur,6.39,6.9,7.82,8.96,9.57,10.15,9.47,9.67,9.41,9.19,3.807,5.641,8.0815,2021
21.0,I,21,Chinna Sekadu (Part),2.76,3.14,3.38,2.7,3.13,3.29,3.44,3.54,3.48,3.46,,2.635,3.1777272727272727,2021
22.0,III,22,Kavankarai,2.97,3.62,3.98,4.45,4.45,4.09,2.42,2.53,2.6,2.47,1.533,2.71,3.1519166666666667,2021
23.0,III,23,Puzhal,6.54,8.01,8.01,7.92,7.48,7.26,7.83,6.62,6.39,6.08,3.731,6.449,6.859999999999999,2021
24.0,III,24,Surappattu,3.74,6.58,9.98,13.85,17.13,19.21,11.64,11.93,9.66,8.35,1.274,2.49,9.652833333333332,2021
25.0,III,25,Kathirvedu,6.04,9.6,11.69,14.7,16.43,17.09,13.38,12.9,10.91,10.01,1.403,3.967,10.676666666666668,2021
26.0,III,26,Madhavaram,5.28,4.96,7.94,11.1,12.44,13.18,6.98,6.54,5.32,4.69,0.871,2.795,6.841333333333334,2021
27.0,III,27,Milk Colony,5.93,6.84,7.4,8.37,8.73,9.24,8.65,8.08,8.2,7.58,0.998,1.945,6.8302499999999995,2021
28.0,III,28,Chinna Sekadu,2.72,3.51,3.66,4.37,5.29,5.4,5.56,5.32,5.03,4.59,0.514,1.225,3.932416666666667,2021
29.0,III,29,Chinnandi Madam,0.36,0.76,1.13,2.14,2.82,3.23,1.57,1.4,1.31,1.12,,-0.18,1.4236363636363636,2021
30.0,III,30,Alex Nagar,10.31,6.23,6.54,7.16,7.66,8.19,8.05,8.01,8.03,7.65,1.658,1.975,6.788583333333334,2021
31.0,III,31,Moolakadai,6.42,6.96,7.4,8.04,8.52,9.05,8.98,8.7,8.83,8.43,1.925,2.43,7.140416666666666,2021
32.0,III,32,Kalpalaiyam,10.62,12.03,13.58,15.77,15.87,20.3,15.43,14.52,13.94,12.46,2.387,10.267,13.097833333333334,2021
33.0,III,33,Thatankulam,3.42,3.87,4.64,6.09,7.09,7.61,6.21,6.01,5.11,4.03,1.335,2.232,4.803916666666667,2021
34.0,IV,34,Kodungaiyur (West),4.08,4.67,3.98,5.72,5.89,6.18,5.62,5.35,5.35,5.03,0.628,2.222,4.56,2021
35.0,IV,35,Thiruvalluvar Nagar,11.43,11.27,11.98,11.38,11.32,11.48,11.4,11.52,11.16,10.92,,6.906,10.978727272727273,2021
36.0,IV,36,Perambur (East),11.43,11.27,9.98,7.14,7.26,7.44,6.73,2.8,6.09,5.67,1.932,3.724,6.788833333333334,2021
37.0,IV,37,Kodungaiyur (East),3.3,3.58,3.71,4.18,3.9,3.85,3.13,5.01,3.05,3.01,1.363,2.755,3.403166666666667,2021
38.0,IV,38,Dr.Radhakrishnan Nagar (North),2.71,2.92,7.94,3.26,3.17,3.26,3.04,5.34,2.8,2.8,1.605,2.199,3.4203333333333323,2021
39.0,IV,39,Cheriyan Nagar North / South,4.66,4.81,7.4,5.07,5.13,5.27,5.12,2.66,4.99,4.82,3.151,3.472,4.712750000000001,2021
40.0,IV,40,Jeeva Nagar (North),4.29,4.43,3.66,4.84,5.07,5.29,5.39,5.83,5.53,5.01,1.08,2.085,4.375416666666666,2021
41.0,IV,41,Vyasarpadi North / Kumarasamy Nagar North,2.98,3.16,1.13,3.93,3.8,3.92,3.17,3.99,2.63,2.68,1.562,2.235,2.93225,2021
42.0,IV,42,Korukkupet,4.15,4.36,6.54,4.73,4.9,5.07,5.15,5.04,4.7,4.52,1.491,1.652,4.358583333333335,2021
43.0,IV,43,Tondiarpet,2.91,3.12,7.4,3.55,3.78,3.95,4.0,11.36,3.93,3.88,1.477,1.587,4.245333333333334,2021
44.0,IV,44,Perambur (North),17.03,17.06,17.18,17.68,18.06,18.42,18.52,18.28,18.02,17.8,13.667,12.442,17.013250000000003,2021
45.0,IV,45,Elango Nagar,12.65,12.41,4.64,12.16,11.98,11.88,11.6,11.29,11.2,10.82,7.518,7.55,10.474833333333333,2021
46.0,IV,46,Vyasarpadi (South),3.12,3.26,3.65,4.16,4.2,4.35,3.75,3.84,3.38,3.13,0.972,2.001,3.31775,2021
47.0,IV,47,Dr.Radhakrishnan Nagar (South),2.82,2.93,3.11,3.56,3.47,3.47,2.89,7.87,2.58,2.55,1.088,1.782,3.176666666666666,2021
48.0,IV,48,Mottai Thottam,4.13,4.23,4.48,5.02,5.02,4.84,4.11,4.43,3.64,3.81,1.215,2.102,3.9189166666666666,2021
49.0,V,49,Grace Garden,7.44,7.76,7.93,8.8,9.07,9.52,8.58,7.9,7.75,7.4,3.606,3.401,7.429749999999999,2021
50.0,V,50,Royapuram,3.85,4.04,4.17,4.28,4.35,4.4,4.42,4.93,4.43,4.42,2.182,2.273,3.9787500000000002,2021
51.0,V,51,Narayana Garden / Old Washermenpet,6.53,6.65,6.85,7.02,7.06,7.02,6.74,6.88,6.34,6.24,0.0,3.123,5.871083333333334,2021
52.0,V,52,Meenakshiammanpet,7.24,7.21,7.39,7.35,7.28,7.26,7.13,3.9,6.85,6.63,4.501,3.984,6.39375,2021
53.0,V,53,Basin Bridge,12.82,12.95,13.1,13.29,13.28,13.37,13.05,7.02,12.84,12.58,10.531,11.085,12.159666666666666,2021
54.0,V,54,Kondithope / Peddunaickenpet,3.93,4.08,4.22,4.71,4.36,4.28,3.94,4.98,3.9,4.03,2.236,3.042,3.9756666666666667,2021
55.0,V,55,Seven Wells (North / South),7.67,7.6,7.63,7.88,7.87,7.71,7.31,7.01,6.84,6.77,4.177,4.295,6.8968333333333325,2021
56.0,V,56,Muthialpet,10.67,11.5,11.51,11.52,11.51,11.52,11.51,11.36,11.46,11.4,11.042,10.944,11.328833333333334,2021
57.0,V,57,Sowcarpet,7.84,7.59,7.52,7.62,7.55,7.31,6.77,6.32,6.28,6.25,3.737,3.9,6.55725,2021
58.0,V,58,Poonga Nagar,10.83,10.94,11.03,10.9,10.51,10.47,10.31,10.3,10.29,10.16,8.32,8.584,10.220333333333334,2021
59.0,V,59,Edapalayam / Nehru Nagar,7.82,8.03,8.22,8.5,8.38,8.31,7.78,7.57,7.38,7.29,3.917,5.509,7.392166666666668,2021
60.0,V,60,Vallal Seethakathi Nagar,3.69,3.73,3.76,3.79,3.82,3.84,3.86,3.89,3.9,3.92,3.91,3.899,3.8340833333333335,2021
61.0,V,61,Egmore / Pudupet,16.29,15.55,15.28,15.05,14.63,14.39,14.09,13.7,13.27,12.48,6.95,6.494,13.181166666666664,2021
62.0,V,62,Chintadripet,2.55,2.83,3.1,3.26,3.24,3.13,2.66,2.58,2.52,2.47,1.11,2.194,2.6369999999999996,2021
63.0,V,63,Komaleeswaranpet,7.07,7.06,7.22,7.34,7.32,7.32,7.01,6.98,6.67,6.12,3.98,4.58,6.555833333333333,2021
64.0,VI,64,Kolathur,1.46,1.76,1.96,1.92,2.07,2.08,1.1,0.76,1.18,0.74,0.316,1.444,1.3991666666666667,2021
65.0,VI,65,Venus Nagar,1.72,2.16,2.21,1.92,2.11,2.11,1.41,1.6,1.34,1.03,0.728,1.466,1.6503333333333334,2021
66.0,VI,66,Agaram (North),3.41,3.9,4.27,5.11,5.6,6.21,4.54,5.24,2.95,1.8,0.425,1.408,3.738583333333333,2021
67.0,VI,67,Agaram (South),13.56,13.76,14.2,15.06,15.31,15.83,15.29,15.09,14.95,11.92,6.001,6.657,13.135666666666665,2021
68.0,VI,68,Sembium,12.07,12.56,13.75,14.75,15.2,15.47,15.36,15.53,14.55,12.85,6.934,7.462,13.0405,2021
69.0,VI,69,Siruvallur,17.76,17.79,17.84,18.12,18.14,18.25,18.19,18.03,17.85,16.72,12.25,13.52,17.038333333333334,2021
70.0,VI,70,Perambur (South),23.74,23.98,23.98,24.53,24.39,24.71,24.35,23.79,23.33,21.02,20.16,19.577,23.12975,2021
71.0,VI,71,Thiru Vi Ka Nagar,18.77,18.51,18.57,18.97,19.62,20.05,20.2,20.01,19.88,18.9,15.589,14.554,18.63525,2021
72.0,VI,72,Dr Sathiyavanimuthu Nagar,3.75,4.15,4.46,5.19,5.1,5.34,4.8,4.53,4.07,3.9,1.187,2.405,4.0735,2021
73.0,VI,73,Pulianthope,10.7,11.17,11.32,11.64,11.82,11.98,11.55,4.21,11.18,11.14,5.152,7.426,9.940666666666667,2021
74.0,VI,74,Maraimalai Adikal Nagar,16.37,16.24,16.15,16.52,16.4,16.55,15.79,11.37,15.28,14.23,13.945,13.67,15.20958333333333,2021
75.0,VI,75,Kosappet,12.98,13.16,13.44,13.6,13.66,15.96,13.12,15.41,12.61,12.33,1.65,3.879,11.816583333333334,2021
76.0,VI,76,Pattalam SC (G),14.62,14.52,14.53,14.58,14.52,13.56,11.37,11.63,10.98,9.84,6.51,6.98,11.969999999999999,2021
77.0,VI,77,Dr. Besant Nagar/ Thattankulam,11.79,11.64,11.73,12.03,12.01,12.11,9.53,9.07,10.52,9.85,4.088,7.014,10.115166666666665,2021
78.0,VI,78,Choolai,8.06,9.27,9.28,10.0,10.06,10.25,10.01,9.65,9.09,9.01,3.535,6.176,8.699250000000001,2021
79.0,VII,79,Banu Nagar,4.61,6.92,8.82,11.15,13.14,15.69,13.43,13.01,12.53,13.08,,2.05,10.402727272727272,2021
80.0,VII,80,Athimulam Nagar,5.6,7.63,9.23,10.84,12.59,13.91,11.97,11.73,11.27,11.64,1.452,2.701,9.213583333333332,2021
81.0,VII,86,Vijayalakshmipuram,13.34,14.35,15.65,17.64,20.11,23.08,22.7,10.88,21.32,20.8,4.708,4.55,15.760666666666667,2021
82.0,VII,82,Kallikuppam,4.15,6.17,7.92,9.56,10.87,11.72,6.65,22.15,5.29,4.72,0.873,2.777,7.737500000000001,2021
83.0,VII,83,Puthagaram,1.09,1.26,1.36,1.56,1.63,1.89,1.73,4.3,0.9,0.64,0.12,0.277,1.3964166666666669,2021
84.0,VII,84,Korattur,2.51,2.98,3.41,3.74,4.09,4.16,3.49,1.18,2.6,2.64,1.621,2.072,2.8744166666666673,2021
85.0,VII,85,Menambedu,5.17,6.63,8.1,10.16,11.8,12.94,11.73,2.71,10.98,7.69,2.179,4.246,7.861250000000001,2021
86.0,VII,86,Ayyappakkam,3.19,3.66,4.13,4.54,4.85,5.25,5.39,10.39,5.28,5.15,1.476,2.444,4.645833333333334,2021
87.0,VII,87,Mathiyalagan Nagar,5.36,5.52,5.71,6.6,6.54,6.85,5.52,5.17,4.1,4.01,2.241,4.027,5.137333333333333,2021
88.0,VII,88,Villivakkam / Anna Nagar West,6.39,6.86,7.5,8.45,8.41,8.45,7.27,4.04,6.48,6.38,3.487,5.661,6.6148333333333325,2021
89.0,VII,89,Anna Nagar West Extension,2.69,3.04,3.51,4.1,4.58,4.72,4.15,6.25,3.24,2.99,1.735,2.484,3.6240833333333344,2021
90.0,VII,90,Padikuppam,3.85,4.34,4.78,6.37,5.78,5.61,5.26,3.39,3.53,3.41,1.743,3.223,4.273833333333333,2021
91.0,VII,91,Nolambur (Part) / Mugappair Eri Scheme,8.06,8.62,9.01,9.68,9.65,10.12,10.1,3.5,9.58,9.32,6.182,7.595,8.451416666666665,2021
92.0,VII,92,Padi Pudhu nagar,4.32,4.69,5.22,5.71,5.87,6.11,5.62,9.58,4.74,4.31,2.327,3.667,5.180333333333334,2021
93.0,VII,93,Maduravoyal (Part) / Nerkundram (Part),3.23,3.61,4.07,4.52,4.72,4.81,4.37,4.92,3.42,3.16,1.847,2.658,3.7779166666666666,2021
94.0,VIII,94,Villivakkam North,1.25,1.88,2.08,2.72,4.35,5.04,3.04,2.21,2.1,1.61,0.444,1.152,2.323,2021
95.0,VIII,95,Vasantham Colony,4.57,5.35,6.03,7.07,6.16,6.62,5.49,2.21,5.09,5.14,2.327,4.73,5.0655833333333335,2021
96.0,VIII,96,Viduthalai Gurusamy Nagar South,12.97,12.84,12.86,12.95,13.08,13.22,13.16,4.59,12.49,11.86,5.005,5.245,10.855833333333331,2021
