Location,Yearly Average,Trend
Kathivakkam,1.788181818181818,Declining
Kathivakkam,3.2132500000000004,Declining
Ernavoor,2.2770833333333336,Declining
Sadaiyankuppam,3.4781666666666666,Declining
Kamadhenu Nagar,3.776333333333333,Declining
Murugappa Nagar,1.8135000000000001,Declining
Raja Shanmugam Nagar,1.91925,Declining
Gandhinagar,4.451833333333333,Declining
Amsa Thottam,6.925833333333334,Declining
Ondikuppam,4.596,Declining
Sathankadu,3.5092499999999998,Declining
Kaladipettai,5.248818181818182,Declining
Edayanchavadi,1.9424166666666665,Declining
Sadayankuppam,2.204090909090909,Declining
Theeumpakkam,2.7795454545454548,Declining
Manali,5.220833333333334,Declining
Chinna Mathur,8.195,Declining
Mathur,8.0815,Declining
Chinna Sekadu (Part),3.1777272727272727,Declining
Kavankarai,3.1519166666666667,Declining
Puzhal,6.859999999999999,Declining
Surappattu,9.652833333333332,Declining
Kathirvedu,10.676666666666668,Declining
Madhavaram,6.841333333333334,Declining
Milk Colony,6.8302499999999995,Declining
Chinna Sekadu,3.932416666666667,Declining
Chinnandi Madam,1.4236363636363636,Declining
Alex Nagar,6.788583333333334,Declining
Moolakadai,7.140416666666666,Declining
Kalpalaiyam,13.097833333333334,Declining
Thatankulam,4.803916666666667,Declining
Kodungaiyur (West),4.56,Declining
Thiruvalluvar Nagar,10.978727272727273,Declining
Perambur (East),6.788833333333334,Declining
Kodungaiyur (East),3.403166666666667,Declining
Dr.Radhakrishnan Nagar (North),3.4203333333333323,Declining
Cheriyan Nagar North / South,4.712750000000001,Declining
Jeeva Nagar (North),4.375416666666666,Declining
Vyasarpadi North / Kumarasamy Nagar North,2.93225,Declining
Korukkupet,4.358583333333335,Declining
Tondiarpet,4.245333333333334,Declining
Perambur (North),17.013250000000003,Declining
Elango Nagar,10.474833333333333,Declining
Vyasarpadi (South),3.31775,Declining
Dr.Radhakrishnan Nagar (South),3.176666666666666,Declining
Mottai Thottam,3.9189166666666666,Declining
Grace Garden,7.429749999999999,Declining
Royapuram,3.9787500000000002,Declining
Narayana Garden / Old Washermenpet,5.871083333333334,Declining
Meenakshiammanpet,6.39375,Declining
Basin Bridge,12.159666666666666,Declining
Kondithope / Peddunaickenpet,3.9756666666666667,Declining
Seven Wells (North / South),6.8968333333333325,Declining
Sowcarpet,6.55725,Declining
Poonga Nagar,10.220333333333334,Declining
Edapalayam / Nehru Nagar,7.392166666666668,Declining
Egmore / Pudupet,13.181166666666664,Declining
Chintadripet,2.6369999999999996,Declining
Komaleeswaranpet,6.555833333333333,Declining
Kolathur,1.3991666666666667,Declining
Venus Nagar,1.6503333333333334,Declining
Agaram (North),3.738583333333333,Declining
Agaram (South),13.135666666666665,Declining
Sembium,13.0405,Declining
Siruvallur,17.038333333333334,Declining
Perambur (South),23.12975,Declining
Thiru Vi Ka Nagar,18.63525,Declining
Dr Sathiyavanimuthu Nagar,4.0735,Declining
Pulianthope,9.940666666666667,Declining
Maraimalai Adikal Nagar,15.20958333333333,Declining
Kosappet,11.816583333333334,Declining
Pattalam SC (G),11.969999999999999,Declining
Dr. Besant Nagar/ Thattankulam,10.115166666666665,Declining
Choolai,8.699250000000001,Declining
Banu Nagar,10.402727272727272,Declining
Athimulam Nagar,9.213583333333332,Declining
Vijayalakshmipuram,15.760666666666667,Declining
Kallikuppam,7.737500000000001,Declining
Puthagaram,1.3964166666666669,Declining
Korattur,2.8744166666666673,Declining
Menambedu,7.861250000000001,Declining
Ayyappakkam,4.645833333333334,Declining
Mathiyalagan Nagar,5.137333333333333,Declining
Villivakkam / Anna Nagar West,6.6148333333333325,Declining
Anna Nagar West Extension,3.6240833333333344,Declining
Padikuppam,4.273833333333333,Declining
Nolambur (Part) / Mugappair Eri Scheme,8.451416666666665,Declining
Padi Pudhu nagar,5.180333333333334,Declining
Maduravoyal (Part) / Nerkundram (Part),3.7779166666666666,Declining
Villivakkam North,2.323,Declining
Viduthalai Gurusamy Nagar South,10.855833333333331,Declining
Ayanavaram,6.636916666666667,Declining
Pannerselvam Nagar,4.152272727272727,Declining
Villivakkam South,7.186333333333334,Declining
Anna Nagar (West),7.31075,Declining
Anna Nagar (Central),3.327916666666667,Declining
Anna Nagar (East),5.028416666666667,Declining
Shenoy Nagar,8.196583333333333,Declining
Purasawalkam,9.806916666666664,Declining
Aminjikarai West,4.868416666666667,Declining
Aminjikarai East,3.94525,Declining
Chetpet / Kilpauk South,10.02275,Declining
Aminjikarai Central,1.8638333333333337,Declining
Periyar Nagar North,9.814500000000002,Declining
Nungambakkam,10.253250000000001,Declining
Thousand Lights,10.75266666666667,Declining
Vadapalani East,7.426166666666667,Declining
Nakkeerar Nagar,14.221083333333338,Declining
Chepauk,6.898499999999999,Declining
Amir mahal,7.874083333333334,Declining
Thiruvallikeni,7.273083333333333,Declining
Sathiyamoorthi Nagar,6.363,Declining
Teynampet,9.466,Declining
Azad Nagar North / South,10.051583333333333,Declining
Krishnampet,7.808,Declining
Vivekanandhapuram,3.744454545454545,Declining
Alwarpet (South),10.096833333333334,Declining
Bhemmannapet,7.288249999999999,Declining
Mylapore,6.304333333333333,Declining
Santhome,3.013909090909091,Declining
Avvai Nagar North,4.624333333333333,Declining
Saligramam,2.874,Declining
Vadapalani West,4.513166666666667,Declining
Kodambakkam North,2.683333333333333,Declining
Ashok Nagar,3.3031666666666673,Declining
MGR Nagar,5.3875,Declining
Navalar Nedunchezian Nagar East,3.798,Declining
Kamarajar Nagar South / East,3.895,Declining
Kodambakkam (S),1.9331666666666665,Declining
Kalaignar Karunanidhi Nagar,11.827416666666664,Declining
Saidapet (West),3.7601666666666667,Declining
Kumaran Nagar North / South,3.484833333333334,Declining
VOC Nagar,10.528083333333333,Declining
Saidapet East,7.256833333333334,Declining
Nolambur,2.9698333333333324,Declining
Mettukuppam,4.552833333333333,Declining
Nerkundram,3.4977499999999995,Declining
Nerkundram,2.879916666666667,Declining
Maduravoyal,2.786272727272727,Declining
Nerkundram,2.5139166666666664,Declining
Valasaravakkam,2.9325000000000006,Declining
Karambakkam,2.7569999999999997,Declining
Porur,3.312333333333333,Declining
Valasaravakkam,3.868416666666667,Declining
Porur,4.026166666666668,Declining
Ramapuram,3.76525,Declining
Ramapuram,3.64275,Declining
Manapakkam,5.291499999999999,Declining
Nandambakkam,5.536083333333334,Declining
Meenampakkam,3.7418333333333336,Declining
Alandur,4.092333333333333,Declining
Alandur Part / Adampakkam Part,2.7728333333333333,Declining
T.G.Nagar / Nanganallur Part,3.5062499999999996,Declining
Adampakkam Part,2.8480833333333333,Declining
Nanganallur Part / Pazhavanthangal Part,3.542666666666667,Declining
Nanganallur,2.825833333333333,Declining
Guindy West,4.237083333333334,Declining
GD Naidu Nagar South,5.501916666666666,Declining
GD Naidu Nagar East,1.9838181818181817,Declining
Raja Annamalaipuram,1.3400833333333333,Declining
Adyar West,4.468749999999999,Declining
Adyar East,3.4347499999999997,Declining
Velachery,1.9892499999999995,Declining
Velachery,0.8588333333333334,Declining
Velachery,2.45825,Declining
Thiruvanmiyur West,1.2611666666666668,Declining
Thiruvanmiyur,1.97375,Declining
Thiruvanmiyur,3.0518333333333327,Declining
Ullagaram,4.761916666666667,Declining
Puzhuthivakkam,1.7163636363636365,Declining
Kottivakkam,3.2785833333333336,Declining
Perungudi,3.8666666666666667,Declining
Palavakkam,3.501916666666667,Declining
Perungudi,9.011916666666668,Declining
Madipakkam,2.079,Declining
Madipakkam,3.572916666666666,Declining
Pallikaranai,3.677000000000001,Declining
Pallikarania,3.6408333333333336,Declining
Jalladampettai,4.22025,Declining
Neelankarai,5.02475,Declining
Okkiyam Thuraipakkam,2.205083333333333,Declining
Okkiyam Thuraipakkam,1.7785833333333334,Declining
Injampakkam,6.179166666666667,Declining
Karapakkam,2.9432500000000004,Declining
Shozhinganallur,4.221416666666667,Declining
Uthandi,2.13025,Declining
Semmenchery,3.2345,Declining
Kathivakkam,1.6084999999999996,Declining
Sadaiyankuppam,4.132750000000001,Declining
Murugappa Nagar,1.6077500000000002,Declining
Amsa Thottam,6.668416666666666,Declining
Chinna Mettupalaiyam,4.327000000000001,Declining
Ondikuppam,4.212583333333334,Declining
Chinna Sekadu (Part),2.168416666666667,Declining
Kodungaiyur (East),3.114833333333333,Declining
Korukkupet,2.2278333333333333,Declining
Tondiarpet,2.3008333333333333,Declining
Elango Nagar,7.1109166666666646,Declining
Vyasarpadi (South),2.7609166666666667,Declining
Dr.Radhakrishnan Nagar (South),2.108833333333333,Declining
Mottai Thottam,2.685749999999999,Declining
Grace Garden,3.682916666666666,Declining
Meenakshiammanpet,4.119083333333333,Declining
Seven Wells (North / South),5.06125,Declining
