Location,Yearly Average,Trend
Chinna Mettupalaiyam,5.4635,Stable/Rising
Thilagar Nagar,1.1829999999999998,Stable/Rising
Muthialpet,11.328833333333334,Stable/Rising
Vallal Seethakathi Nagar,3.8340833333333335,Stable/Rising
Vasantham Colony,5.0655833333333335,Stable/Rising
Virugambakkam North,8.240583333333333,Stable/Rising
Virugambakkam South,2.745083333333333,Stable/Rising
Thiyagaraya Nagar,4.302166666666667,Stable/Rising
Mugalivakkam,12.816833333333333,Stable/Rising
Adampakkam Part / Balaji Nagar,3.9659166666666668,Stable/Rising
B.V.Nagar / Nanganallur Part,2.557166666666667,Stable/Rising
Guindy East,1.5408333333333335,Stable/Rising
Neelankarai,2.8190000000000004,Stable/Rising
Kathivakkam,3.331666666666667,Stable/Rising
Ernavoor,2.267,Stable/Rising
Kamadhenu Nagar,3.0736999999999997,Stable/Rising
Raja Shanmugam Nagar,1.5066666666666668,Stable/Rising
Gandhinagar,4.423166666666666,Stable/Rising
Sathankadu,3.104916666666666,Stable/Rising
Thilagar Nagar,0.2260909090909091,Stable/Rising
Kaladipettai,5.417583333333334,Stable/Rising
Edayanchavadi,1.5779166666666666,Stable/Rising
Sadayankuppam,1.2513333333333334,Stable/Rising
Theeumpakkam,1.44625,Stable/Rising
Manali,4.37225,Stable/Rising
Chinna Mathur,6.301363636363636,Stable/Rising
Mathur,7.174250000000001,Stable/Rising
Kavankarai,2.96125,Stable/Rising
Puzhal,7.275583333333334,Stable/Rising
Surappattu,10.28975,Stable/Rising
Kathirvedu,10.316333333333331,Stable/Rising
Madhavaram,7.633666666666667,Stable/Rising
Milk Colony,5.0175,Stable/Rising
Chinna Sekadu,2.7895833333333333,Stable/Rising
Chinnandi Madam,0.9276363636363637,Stable/Rising
Alex Nagar,5.020166666666666,Stable/Rising
Moolakadai,4.2988333333333335,Stable/Rising
Kalpalaiyam,16.361916666666666,Stable/Rising
Thatankulam,4.43925,Stable/Rising
Kodungaiyur (West),4.433583333333334,Stable/Rising
Thiruvalluvar Nagar,6.848250000000001,Stable/Rising
Perambur (East),5.972166666666666,Stable/Rising
Dr.Radhakrishnan Nagar (North),2.6134166666666667,Stable/Rising
Cheriyan Nagar North / South,4.253666666666667,Stable/Rising
Jeeva Nagar (North),2.5148333333333337,Stable/Rising
Vyasarpadi North / Kumarasamy Nagar North,2.6540833333333333,Stable/Rising
Perambur (North),12.076166666666664,Stable/Rising
Royapuram,2.608333333333333,Stable/Rising
Narayana Garden / Old Washermenpet,3.7525,Stable/Rising
Basin Bridge,22.846,Stable/Rising
Kondithope / Peddunaickenpet,3.935916666666666,Stable/Rising
Muthialpet,9.9187,Stable/Rising
Poonga Nagar,9.266499999999999,Stable/Rising
Edapalayam / Nehru Nagar,6.809166666666666,Stable/Rising
Vallal Seethakathi Nagar,4.027416666666666,Stable/Rising
Egmore / Pudupet,8.203083333333334,Stable/Rising
Chintadripet,2.70875,Stable/Rising
Komaleeswaranpet,4.457090909090908,Stable/Rising
Kolathur,1.8119166666666668,Stable/Rising
Venus Nagar,1.2285833333333334,Stable/Rising
Agaram (North),2.111666666666667,Stable/Rising
Agaram (South),8.962666666666669,Stable/Rising
Sembium,9.509083333333331,Stable/Rising
Siruvallur,0.05639999999999999,Stable/Rising
Thiru Vi Ka Nagar,14.966166666666668,Stable/Rising
Pulianthope,9.466166666666668,Stable/Rising
Pattalam SC (G),14.6906,Stable/Rising
Dr. Besant Nagar/ Thattankulam,8.642583333333333,Stable/Rising
Choolai,8.255416666666667,Stable/Rising
Banu Nagar,7.129499999999999,Stable/Rising
Vijayalakshmipuram,7.188416666666668,Stable/Rising
Puthagaram,0.67875,Stable/Rising
Ayyappakkam,4.410083333333334,Stable/Rising
Mathiyalagan Nagar,4.777666666666666,Stable/Rising
