S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly Average,Year
1.0,I,1,Kathivakkam,-0.570125,-0.56975,-0.6577499999999998,-0.635,-0.6849999999999998,-0.681,-0.6773333333333333,,-0.6983333333333333,-0.7549999999999997,-0.8983333333333334,-0.7653333333333334,1.788181818181818,2021
2.0,I,2,Kathivakkam,0.8398749999999997,0.85025,0.88225,0.8650000000000002,0.895,0.919,0.8826666666666667,-0.5137999999999998,0.9116666666666666,0.9450000000000003,0.5976666666666666,0.8076666666666665,3.2132500000000004,2021
4.0,I,4,Sadaiyankuppam,0.06225000000000014,-0.021749999999999936,-0.025249999999999773,-2.106666666666666,0.15666666666666673,0.17733333333333334,0.08400000000000007,-1.0899999999999999,0.13800000000000034,-0.21999999999999975,-0.2406666666666668,-0.025666666666666504,3.4781666666666666,2021
12.0,I,12,Sathankadu,0.8449999999999998,0.7624999999999997,0.10400000000000009,0.46699999999999964,0.4733333333333336,1.646666666666667,0.4260000000000006,-2.0056666666666665,0.31499999999999995,0.30733333333333324,0.01200000000000001,-0.04833333333333334,3.5092499999999998,2021
14.0,I,14,Kaladipettai,0.1507499999999995,-0.24899999999999967,-0.3899999999999997,-0.6906666666666661,-0.7433333333333323,0.08633333333333315,-0.17766666666666708,-0.28066666666666595,-0.2666666666666666,-0.1739999999999995,,-0.5309999999999997,5.248818181818182,2021
17.0,I,17,Theeumpakkam,0.06599999999999995,-0.27049999999999996,-0.2157499999999999,0.5999999999999999,0.7200000000000002,1.4633333333333334,0.13966666666666683,4.9350000000000005,0.9240000000000002,0.48766666666666647,,-0.6166666666666667,2.7795454545454548,2021
18.0,I,18,Manali,-0.7755000000000001,0.4270000000000005,-0.6524999999999999,-0.45333333333333403,1.3966666666666665,1.623333333333333,0.6273333333333326,1.5746666666666664,1.4770000000000003,1.161666666666667,-2.712666666666667,-1.906,5.220833333333334,2021
20.0,I,20,Mathur,0.8359999999999994,0.42375000000000007,0.9085000000000001,0.9166666666666661,1.42,1.6600000000000001,1.2379999999999995,1.5039999999999996,1.3633333333333333,0.9149999999999991,-0.925333333333334,-0.35233333333333317,8.0815,2021
21.0,I,21,Chinna Sekadu (Part),0.2137500000000001,0.645,0.5099999999999998,0.2866666666666666,0.4533333333333336,0.46533333333333315,1.2149999999999999,0.5666666666666669,-0.9613333333333336,1.025,,0.5419999999999998,3.1777272727272727,2021
22.0,III,22,Kavankarai,-0.3899999999999997,-0.35975,0.16699999999999982,0.45233333333333325,0.5733333333333333,1.0116666666666667,-0.35699999999999976,-0.47066666666666634,-0.3163333333333336,-0.3389999999999995,-0.5179999999999998,-0.5946666666666665,3.1519166666666667,2021
23.0,III,23,Puzhal,-0.2969999999999997,-0.2952500000000011,-0.38349999999999973,-0.5233333333333334,-0.8366666666666678,0.026666666666666394,-0.23666666666666636,-0.8096666666666668,-0.684333333333333,-0.37233333333333274,-0.516,0.19466666666666743,6.859999999999999,2021
24.0,III,24,Surappattu,-0.47199999999999953,-0.42774999999999963,-1.9872499999999995,-2.0806666666666676,-1.0133333333333354,1.2213333333333338,-3.556333333333333,-4.0486666666666675,-5.424666666666665,-6.609333333333334,-5.417333333333333,-0.1383333333333332,9.652833333333332,2021
25.0,III,25,Kathirvedu,0.7392500000000002,1.1244999999999994,-0.4320000000000004,-0.11233333333333384,0.7200000000000006,1.376666666666667,-1.1839999999999993,-1.3133333333333326,-2.9866666666666664,-3.216666666666667,-4.724666666666668,0.1553333333333331,10.676666666666668,2021
26.0,III,26,Madhavaram,0.8460000000000001,-1.82625,-1.8737500000000002,-1.238999999999999,-0.48666666666666814,1.7859999999999996,-2.1470000000000002,-3.3243333333333327,-3.625,-3.8263333333333334,-2.9593333333333334,-0.48233333333333306,6.841333333333334,2021
27.0,III,27,Milk Colony,2.6102499999999997,2.5195,2.09875,1.9846666666666666,1.8633333333333333,1.9363333333333328,-0.593,1.201666666666667,1.2346666666666657,0.7589999999999995,-1.3513333333333335,-1.0313333333333332,6.8302499999999995,2021
28.0,III,28,Chinna Sekadu,0.9235000000000002,1.0067499999999998,0.9700000000000002,0.9110000000000005,1.4833333333333334,1.2300000000000004,1.2359999999999998,1.0683333333333334,0.8666666666666671,0.8500000000000001,-0.944,-1.13,3.932416666666667,2021
29.0,III,29,Chinnandi Madam,-1.1633333333333336,-0.29174999999999995,-0.2670000000000001,0.4810000000000001,0.8666666666666667,1.1113333333333335,0.32633333333333336,0.11933333333333329,0.056666666666666865,-0.05999999999999983,,-1.1546666666666667,1.4236363636363636,2021
30.0,III,30,Alex Nagar,3.9612500000000006,0.7202500000000001,0.6937500000000005,1.8703333333333338,1.8099999999999996,2.166666666666666,1.7970000000000006,1.6356666666666664,1.4993333333333334,0.06333333333333435,-5.757999999999999,-5.9,6.788583333333334,2021
31.0,III,31,Moolakadai,0.7577499999999997,2.7474999999999996,2.4785000000000004,1.899,1.913333333333333,2.149000000000001,2.0700000000000003,1.8226666666666667,1.963333333333333,1.5330000000000004,-0.5199999999999998,-0.8406666666666669,7.140416666666666,2021
32.0,III,32,Kalpalaiyam,1.8377499999999998,1.8762499999999989,1.0825000000000014,2.3136666666666663,1.8666666666666671,1.1359999999999992,-1.1163333333333334,-3.5779999999999994,-2.7810000000000006,-4.7719999999999985,-6.002000000000001,-0.0946666666666669,13.097833333333334,2021
33.0,III,33,Thatankulam,0.2882499999999997,0.019000000000000128,0.018749999999999822,0.17366666666666575,0.6100000000000003,1.6156666666666668,0.38333333333333286,0.25966666666666605,-0.35799999999999965,-1.0346666666666664,-0.4033333333333333,-0.8676666666666661,4.803916666666667,2021
34.0,IV,34,Kodungaiyur (West),1.25575,1.08575,0.029249999999999776,0.5476666666666663,0.5399999999999991,0.8129999999999997,0.22666666666666657,0.30366666666666653,0.1979999999999995,0.006999999999999673,-0.6546666666666666,-0.6970000000000001,4.56,2021
36.0,IV,36,Perambur (East),5.59825,4.469666666666666,3.15425,0.6893333333333329,0.7666666666666666,0.6853333333333342,0.9330000000000007,-1.5836666666666668,-0.18766666666666598,-0.44333333333333336,-2.348666666666667,-0.8373333333333335,6.788833333333334,2021
