S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly Average,Year
2.0,I,2,Kathivakkam,0.8398749999999997,0.85025,0.88225,0.8650000000000002,0.895,0.919,0.8826666666666667,-0.5137999999999998,0.9116666666666666,0.9450000000000003,0.5976666666666666,0.8076666666666665,3.2132500000000004,2021
3.0,I,3,Ernavoor,0.10875000000000012,0.03474999999999984,0.08400000000000007,0.046333333333333115,0.02666666666666684,0.10133333333333328,0.0863333333333336,0.7166666666666668,0.07200000000000006,-0.0033333333333334103,-0.2873333333333332,-0.42033333333333345,2.2770833333333336,2021
5.0,I,5,Kamadhenu Nagar,0.3497500000000002,0.3380000000000001,0.37524999999999986,0.5966666666666662,0.8499999999999996,0.9196666666666671,1.5069999999999997,0.33000000000000007,-0.024333333333333318,-0.06333333333333346,-0.3274999999999997,-0.2883333333333331,3.776333333333333,2021
6.0,I,6,Murugappa Nagar,0.3014999999999999,0.35750000000000015,0.34575,0.05933333333333346,0.12666666666666648,0.1313333333333333,0.1389999999999998,1.0463333333333331,0.09933333333333305,0.07166666666666677,-0.2653333333333332,0.3946666666666667,1.8135000000000001,2021
7.0,I,7,Raja Shanmugam Nagar,0.48324999999999996,0.5325,0.49750000000000005,0.43133333333333335,0.3500000000000001,0.43666666666666654,0.10999999999999988,0.20733333333333315,0.020000000000000018,0.030000000000000027,-0.2526666666666667,-0.006666666666666599,1.91925,2021
8.0,I,8,Gandhinagar,0.4067499999999997,0.30100000000000016,0.22250000000000014,0.08899999999999952,0.11666666666666714,0.26933333333333387,0.5326666666666666,0.48166666666666647,0.34800000000000075,0.28133333333333344,0.29933333333333323,0.14333333333333398,4.451833333333333,2021
10.0,I,10,Chinna Mettupalaiyam,0.42300000000000004,0.3280000000000003,0.23475000000000001,0.21866666666666656,0.22666666666666657,0.34066666666666645,0.2573333333333334,0.339666666666667,0.37733333333333263,0.21033333333333282,1.0979999999999999,1.7476666666666665,5.4635,2021
11.0,I,11,Ondikuppam,0.5174999999999996,0.5717500000000002,0.18874999999999975,0.26833333333333353,0.27999999999999936,0.4379999999999997,0.24666666666666703,0.18333333333333357,0.18200000000000038,-0.2826666666666666,-0.002000000000000224,0.15633333333333388,4.596,2021
12.0,I,12,Sathankadu,0.8449999999999998,0.7624999999999997,0.10400000000000009,0.46699999999999964,0.4733333333333336,1.646666666666667,0.4260000000000006,-2.0056666666666665,0.31499999999999995,0.30733333333333324,0.01200000000000001,-0.04833333333333334,3.5092499999999998,2021
13.0,I,13,Thilagar Nagar,-0.33333333333333337,-0.08025000000000004,0.056499999999999995,-0.31666666666666676,-0.27666666666666667,-0.20233333333333337,-0.17466666666666675,2.9823333333333335,-0.17366666666666675,-0.15866666666666673,1.2386666666666666,,1.1829999999999998,2021
15.0,I,15,Edayanchavadi,0.5422499999999999,0.35325000000000006,0.29499999999999993,0.3833333333333333,0.5133333333333336,0.7416666666666667,0.12733333333333308,0.053333333333333455,0.3666666666666667,0.5509999999999999,-0.10999999999999999,-0.11699999999999999,1.9424166666666665,2021
16.0,I,16,Sadayankuppam,0.4565,0.5935000000000001,0.6182500000000002,0.7666666666666664,0.793333333333333,1.0873333333333333,0.6106666666666669,0.6743333333333332,0.8190000000000002,0.9299999999999999,,-0.1263333333333333,2.204090909090909,2021
17.0,I,17,Theeumpakkam,0.06599999999999995,-0.27049999999999996,-0.2157499999999999,0.5999999999999999,0.7200000000000002,1.4633333333333334,0.13966666666666683,4.9350000000000005,0.9240000000000002,0.48766666666666647,,-0.6166666666666667,2.7795454545454548,2021
18.0,I,18,Manali,-0.7755000000000001,0.4270000000000005,-0.6524999999999999,-0.45333333333333403,1.3966666666666665,1.623333333333333,0.6273333333333326,1.5746666666666664,1.4770000000000003,1.161666666666667,-2.712666666666667,-1.906,5.220833333333334,2021
19.0,I,19,Chinna Mathur,2.2385,1.9405000000000001,1.5389999999999997,1.663333333333333,1.629999999999999,2.054666666666667,1.4403333333333332,2.1579999999999995,1.7440000000000007,1.5733333333333333,-0.20450000000000035,-0.18466666666666676,8.195,2021
20.0,I,20,Mathur,0.8359999999999994,0.42375000000000007,0.9085000000000001,0.9166666666666661,1.42,1.6600000000000001,1.2379999999999995,1.5039999999999996,1.3633333333333333,0.9149999999999991,-0.925333333333334,-0.35233333333333317,8.0815,2021
21.0,I,21,Chinna Sekadu (Part),0.2137500000000001,0.645,0.5099999999999998,0.2866666666666666,0.4533333333333336,0.46533333333333315,1.2149999999999999,0.5666666666666669,-0.9613333333333336,1.025,,0.5419999999999998,3.1777272727272727,2021
22.0,III,22,Kavankarai,-0.3899999999999997,-0.35975,0.16699999999999982,0.45233333333333325,0.5733333333333333,1.0116666666666667,-0.35699999999999976,-0.47066666666666634,-0.3163333333333336,-0.3389999999999995,-0.5179999999999998,-0.5946666666666665,3.1519166666666667,2021
24.0,III,24,Surappattu,-0.47199999999999953,-0.42774999999999963,-1.9872499999999995,-2.0806666666666676,-1.0133333333333354,1.2213333333333338,-3.556333333333333,-4.0486666666666675,-5.424666666666665,-6.609333333333334,-5.417333333333333,-0.1383333333333332,9.652833333333332,2021
25.0,III,25,Kathirvedu,0.7392500000000002,1.1244999999999994,-0.4320000000000004,-0.11233333333333384,0.7200000000000006,1.376666666666667,-1.1839999999999993,-1.3133333333333326,-2.9866666666666664,-3.216666666666667,-4.724666666666668,0.1553333333333331,10.676666666666668,2021
26.0,III,26,Madhavaram,0.8460000000000001,-1.82625,-1.8737500000000002,-1.238999999999999,-0.48666666666666814,1.7859999999999996,-2.1470000000000002,-3.3243333333333327,-3.625,-3.8263333333333334,-2.9593333333333334,-0.48233333333333306,6.841333333333334,2021
27.0,III,27,Milk Colony,2.6102499999999997,2.5195,2.09875,1.9846666666666666,1.8633333333333333,1.9363333333333328,-0.593,1.201666666666667,1.2346666666666657,0.7589999999999995,-1.3513333333333335,-1.0313333333333332,6.8302499999999995,2021
28.0,III,28,Chinna Sekadu,0.9235000000000002,1.0067499999999998,0.9700000000000002,0.9110000000000005,1.4833333333333334,1.2300000000000004,1.2359999999999998,1.0683333333333334,0.8666666666666671,0.8500000000000001,-0.944,-1.13,3.932416666666667,2021
29.0,III,29,Chinnandi Madam,-1.1633333333333336,-0.29174999999999995,-0.2670000000000001,0.4810000000000001,0.8666666666666667,1.1113333333333335,0.32633333333333336,0.11933333333333329,0.056666666666666865,-0.05999999999999983,,-1.1546666666666667,1.4236363636363636,2021
30.0,III,30,Alex Nagar,3.9612500000000006,0.7202500000000001,0.6937500000000005,1.8703333333333338,1.8099999999999996,2.166666666666666,1.7970000000000006,1.6356666666666664,1.4993333333333334,0.06333333333333435,-5.757999999999999,-5.9,6.788583333333334,2021
31.0,III,31,Moolakadai,0.7577499999999997,2.7474999999999996,2.4785000000000004,1.899,1.913333333333333,2.149000000000001,2.0700000000000003,1.8226666666666667,1.963333333333333,1.5330000000000004,-0.5199999999999998,-0.8406666666666669,7.140416666666666,2021
32.0,III,32,Kalpalaiyam,1.8377499999999998,1.8762499999999989,1.0825000000000014,2.3136666666666663,1.8666666666666671,1.1359999999999992,-1.1163333333333334,-3.5779999999999994,-2.7810000000000006,-4.7719999999999985,-6.002000000000001,-0.0946666666666669,13.097833333333334,2021
33.0,III,33,Thatankulam,0.2882499999999997,0.019000000000000128,0.018749999999999822,0.17366666666666575,0.6100000000000003,1.6156666666666668,0.38333333333333286,0.25966666666666605,-0.35799999999999965,-1.0346666666666664,-0.4033333333333333,-0.8676666666666661,4.803916666666667,2021
34.0,IV,34,Kodungaiyur (West),1.25575,1.08575,0.029249999999999776,0.5476666666666663,0.5399999999999991,0.8129999999999997,0.22666666666666657,0.30366666666666653,0.1979999999999995,0.006999999999999673,-0.6546666666666666,-0.6970000000000001,4.56,2021
35.0,IV,35,Thiruvalluvar Nagar,5.14775,4.4334999999999996,4.4115,3.1316666666666677,3.0566666666666666,3.043333333333333,2.594000000000001,2.753333333333332,2.3966666666666665,2.296666666666667,,1.7039999999999997,10.978727272727273,2021
36.0,IV,36,Perambur (East),5.59825,4.469666666666666,3.15425,0.6893333333333329,0.7666666666666666,0.6853333333333342,0.9330000000000007,-1.5836666666666668,-0.18766666666666598,-0.44333333333333336,-2.348666666666667,-0.8373333333333335,6.788833333333334,2021
37.0,IV,37,Kodungaiyur (East),0.4572499999999997,0.4437500000000001,0.4397500000000001,0.5093333333333327,0.24333333333333362,0.42166666666666686,-0.2200000000000002,1.512,0.160333333333333,0.2426666666666666,-0.32800000000000007,0.5116666666666667,3.403166666666667,2021
38.0,IV,38,Dr.Radhakrishnan Nagar (North),0.21024999999999983,0.21199999999999974,3.8842500000000006,0.30699999999999994,0.17333333333333334,0.3856666666666668,0.19533333333333314,1.7093333333333334,0.020999999999999908,0.057333333333333236,-0.3666666666666667,-0.2413333333333334,3.4203333333333323,2021
39.0,IV,39,Cheriyan Nagar North / South,0.72925,0.6077500000000002,2.3125,0.6803333333333335,0.7133333333333329,0.7399999999999993,0.3763333333333332,-1.2806666666666664,0.2566666666666668,0.11000000000000032,-0.45599999999999996,-0.5370000000000004,4.712750000000001,2021
40.0,IV,40,Jeeva Nagar (North),1.6509999999999998,1.7082499999999996,1.23225,1.5513333333333335,1.6966666666666668,1.7600000000000002,1.7916666666666665,2.128,1.8866666666666672,1.4266666666666663,-1.2033333333333331,-0.09466666666666645,4.375416666666666,2021
41.0,IV,41,Vyasarpadi North / Kumarasamy Nagar North,0.7469999999999999,0.6812500000000004,-0.8642500000000002,0.8866666666666672,0.6499999999999999,1.1026666666666665,0.3823333333333334,1.154,0.3653333333333335,0.29000000000000004,-0.19866666666666655,-0.17266666666666675,2.93225,2021
42.0,IV,42,Korukkupet,1.61775,1.6050000000000004,3.06775,1.5630000000000002,1.6400000000000001,1.5733333333333337,1.5900000000000003,1.5813333333333328,1.3633333333333337,1.0066666666666664,-0.6493333333333333,0.32333333333333325,4.358583333333335,2021
43.0,IV,43,Tondiarpet,0.86375,0.8522500000000002,3.87225,0.6696666666666666,0.7433333333333332,0.6206666666666671,0.5790000000000002,5.473333333333333,0.4133333333333331,0.32333333333333325,-0.6453333333333331,0.6246666666666666,4.245333333333334,2021
44.0,IV,44,Perambur (North),6.5767500000000005,6.43075,6.328250000000001,4.725999999999999,4.923333333333334,5.151666666666669,5.215999999999999,5.116999999999999,5.109999999999998,5.034000000000001,2.8580000000000005,2.258000000000001,17.013250000000003,2021
45.0,IV,45,Elango Nagar,5.95275,5.6290000000000004,-0.3392500000000007,3.7380000000000013,3.6033333333333335,3.423333333333334,3.2856666666666676,3.1276666666666664,4.9433333333333325,2.783333333333333,1.9720000000000004,2.973,10.474833333333333,2021
46.0,IV,46,Vyasarpadi (South),0.6710000000000003,0.37575000000000003,0.5305,0.5463333333333331,0.41333333333333355,0.8136666666666663,0.4253333333333331,0.5053333333333332,0.21666666666666634,0.31333333333333346,-0.5653333333333335,0.08366666666666656,3.31775,2021
47.0,IV,47,Dr.Radhakrishnan Nagar (South),0.774,0.6502500000000002,0.6502499999999998,0.730666666666667,0.5666666666666664,0.9193333333333333,0.41333333333333355,3.822,0.3969999999999998,0.25733333333333297,-0.1346666666666667,0.15200000000000014,3.176666666666666,2021
48.0,IV,48,Mottai Thottam,1.4429999999999996,1.2397500000000004,1.2182500000000003,1.2189999999999999,1.1133333333333333,1.2503333333333333,0.6600000000000006,0.934333333333333,0.42600000000000016,0.31233333333333313,-0.5266666666666664,0.19499999999999984,3.9189166666666666,2021
49.0,V,49,Grace Garden,3.5337500000000004,3.5045,3.394,3.1496666666666675,3.203333333333333,3.5743333333333327,2.8289999999999997,2.3229999999999995,2.2169999999999996,1.8243333333333336,0.29066666666666663,1.1720000000000002,7.429749999999999,2021
50.0,V,50,Royapuram,1.3337500000000002,1.3562500000000002,1.4009999999999998,1.1760000000000006,1.2099999999999995,1.1950000000000003,1.1886666666666668,1.5106666666666668,1.1619999999999995,1.1400000000000001,-0.22866666666666635,-0.2246666666666668,3.9787500000000002,2021
51.0,V,51,Narayana Garden / Old Washermenpet,2.7235,2.532,2.37775,2.0056666666666665,2.0199999999999996,2.0059999999999993,1.6853333333333333,1.838333333333333,1.386333333333333,1.2649999999999997,-2.0733333333333337,0.04233333333333311,5.871083333333334,2021
52.0,V,52,Meenakshiammanpet,2.9522500000000003,2.6414999999999997,2.575,2.078666666666666,2.003333333333334,1.8866666666666676,1.770666666666667,-0.5163333333333333,1.4749999999999996,1.2503333333333337,0.5473333333333334,0.7083333333333335,6.39375,2021
