Location,Yearly Average,Variability
Thilagar Nagar,1.1829999999999998,1.4665759441638202
Theeumpakkam,2.7795454545454548,2.4393364410690204
Manali,5.220833333333334,2.3869044933985233
Chinna Mathur,8.195,1.835935283074097
Mathur,8.0815,1.9832004208074656
Puzhal,6.859999999999999,1.2136632002480605
Surappattu,9.652833333333332,5.573617885479174
Kathirvedu,10.676666666666668,4.84180905960747
Madhavaram,6.841333333333334,3.764845338688221
Milk Colony,6.8302499999999995,2.664828977115178
Chinna Sekadu,3.932416666666667,1.6824795261935899
Alex Nagar,6.788583333333334,2.53153070684457
Moolakadai,7.140416666666666,2.462456698588676
Kalpalaiyam,13.097833333333334,4.322480366080512
Thatankulam,4.803916666666667,1.915037737977711
Kodungaiyur (West),4.56,1.6469632661355869
Thiruvalluvar Nagar,10.978727272727273,1.3752693620457843
Perambur (East),6.788833333333334,3.063132734883546
Dr.Radhakrishnan Nagar (North),3.4203333333333323,1.6701351242738813
Cheriyan Nagar North / South,4.712750000000001,1.2170132683970811
Jeeva Nagar (North),4.375416666666666,1.4473666657594113
Korukkupet,4.358583333333335,1.4308675345800363
Tondiarpet,4.245333333333334,2.6871856969135886
Perambur (North),17.013250000000003,1.934158173704801
Elango Nagar,10.474833333333333,2.5131350154857595
Dr.Radhakrishnan Nagar (South),3.176666666666666,1.6425433346066112
Grace Garden,7.429749999999999,1.9492683067803112
Narayana Garden / Old Washermenpet,5.871083333333334,2.1363349013219017
Meenakshiammanpet,6.39375,1.3895515381851538
Basin Bridge,12.159666666666666,1.848794808091001
Seven Wells (North / South),6.8968333333333325,1.299459106588957
Sowcarpet,6.55725,1.4015620587563913
Edapalayam / Nehru Nagar,7.392166666666668,1.3529910859971985
Egmore / Pudupet,13.181166666666664,3.189109018728167
Agaram (North),3.738583333333333,1.7979262022641194
Agaram (South),13.135666666666665,3.3507079939329327
Sembium,13.0405,2.976667095931287
Siruvallur,17.038333333333334,1.9990217304441393
Perambur (South),23.12975,1.802067203115759
Thiru Vi Ka Nagar,18.63525,1.784160771648931
Dr Sathiyavanimuthu Nagar,4.0735,1.2077878727055282
Pulianthope,9.940666666666667,2.7341050499646906
Maraimalai Adikal Nagar,15.20958333333333,1.6021866568328837
Kosappet,11.816583333333334,4.3839556745091075
Pattalam SC (G),11.969999999999999,2.963805907029921
Dr. Besant Nagar/ Thattankulam,10.115166666666665,2.4603617558596884
Choolai,8.699250000000001,1.9754767951514434
Banu Nagar,10.402727272727272,4.261687672528551
Athimulam Nagar,9.213583333333332,4.026843913229708
Vijayalakshmipuram,15.760666666666667,6.466697194554621
Kallikuppam,7.737500000000001,5.560258193808825
Menambedu,7.861250000000001,3.7175754348279693
Ayyappakkam,4.645833333333334,2.1924831017627366
Mathiyalagan Nagar,5.137333333333333,1.3375719068747691
Villivakkam / Anna Nagar West,6.6148333333333325,1.6146474331362042
Anna Nagar West Extension,3.6240833333333344,1.211986382936806
Padikuppam,4.273833333333333,1.3297491789009983
Nolambur (Part) / Mugappair Eri Scheme,8.451416666666665,1.9393069267293936
