Location,Area No.,min_level,max_level,avg_level,change_2021_2024
Adampakkam Part,XII,2.408166666666667,3.953333333333333,3.022291666666667,1.1052499999999998
Adampakkam Part / Balaji Nagar,XII,3.4885,4.28,3.8799375,0.31408333333333394
Adyar East,XIII,2.216666666666667,3.43475,2.7221458333333333,-1.2180833333333334
Adyar West,XIII,2.5703333333333336,4.468749999999999,3.21425,-1.7120833333333327
Agaram (North),VI,2.111666666666667,3.738583333333333,2.6322916666666663,-1.2152500000000002
Agaram (South),VI,5.093333333333333,13.135666666666664,8.820104166666667,-8.042333333333332
Alandur,XII,3.3234166666666667,4.092333333333333,3.6614791666666666,-0.23566666666666647
Alandur Part / Adampakkam Part,XII,2.623666666666667,3.22,2.845125,0.44716666666666693
Alex Nagar,III,5.020166666666666,10.306666666666668,7.1078125000000005,3.518083333333334
Alwarpet (South),IX,10.096833333333334,12.597166666666666,11.442062499999999,1.5398333333333287
Aminjikarai Central,VIII,1.8638333333333337,4.216666666666667,3.164729166666667,2.352833333333333
Aminjikarai East,VIII,2.8935,3.94525,3.3841666666666668,-0.2552500000000002
Aminjikarai West,VIII,3.888333333333333,5.086666666666667,4.5942083333333334,0.21825000000000028
Amir mahal,IX,4.6000000000000005,7.874083333333334,5.7081875,-3.2740833333333335
Amsa Thottam,I,6.483333333333333,6.925833333333334,6.706229166666667,-0.4425000000000008
Anna Nagar (Central),VIII,2.6813333333333333,3.4480833333333334,3.102666666666667,-0.3745833333333337
Anna Nagar (East),VIII,2.21575,5.028416666666667,3.0611458333333332,-2.7584166666666667
Anna Nagar (West),VIII,7.01575,8.173333333333334,7.554645833333334,0.8625833333333341
Anna Nagar West Extension,VII,2.7602500000000005,3.6240833333333344,3.0097708333333335,-0.7740833333333343
Ashok Nagar,X,3.017583333333333,4.276666666666666,3.4671875000000005,0.9734999999999987
Athimulam Nagar,VII,5.46,9.37,7.9504375,-3.7535833333333324
Avvai Nagar North,IX,4.048166666666667,4.773333333333333,4.503791666666666,0.14900000000000002
Ayanavaram,VIII,1.153333333333333,6.636916666666667,3.047791666666667,-5.483583333333334
Ayyappakkam,VII,3.513333333333333,5.503333333333334,4.5181458333333335,-1.1325000000000007
Azad Nagar North / South,IX,6.521416666666666,10.051583333333332,7.488104166666666,-3.2682499999999974
B.V.Nagar / Nanganallur Part,XII,2.0363333333333333,3.2900000000000005,2.5694166666666667,0.7328333333333337
Banu Nagar,VII,7.129499999999999,10.402727272727272,9.205244318181817,-1.0093939393939397
Basin Bridge,V,12.159666666666666,24.74142857142857,19.915698412698415,
Bhemmannapet,IX,6.093333333333334,7.288249999999999,6.579604166666667,-1.194916666666665
Chepauk,IX,4.691166666666667,6.898499999999999,5.309958333333333,-2.0151666666666657
Cheriyan Nagar North / South,IV,3.9933333333333336,4.712750000000001,4.292958333333334,-0.719416666666667
Chetpet / Kilpauk South,VIII,4.22,10.02275,6.3065625,-5.8027500000000005
Chinna Mathur,I,5.433333333333334,8.195,6.454799242424243,-2.7616666666666667
Chinna Mettupalaiyam,I,4.327000000000001,5.4635,4.8717500000000005,-0.9201666666666668
Chinna Sekadu,III,2.27,3.932416666666667,2.9910833333333335,-1.662416666666667
Chinna Sekadu (Part),I,2.168416666666667,3.1777272727272727,2.650410984848485,-0.4843939393939394
Chinnandi Madam,III,0.9276363636363636,1.6467500000000002,1.3736723484848485,0.07303030303030322
Chintadripet,V,2.493916666666667,2.76,2.649916666666667,0.12299999999999978
Choolai,VI,8.255416666666667,8.809727272727272,8.507765151515152,-0.43258333333333354
Dr Sathiyavanimuthu Nagar,VI,2.516666666666666,4.0735,3.143020833333333,-1.556833333333334
Dr. Besant Nagar/ Thattankulam,VI,7.336666666666666,10.115166666666664,8.475479166666666,-2.7784999999999975
Dr.Radhakrishnan Nagar (North),IV,2.6134166666666667,3.4203333333333323,2.845895833333333,-0.7703333333333324
Dr.Radhakrishnan Nagar (South),IV,1.982083333333333,3.176666666666666,2.345229166666666,-1.0633333333333326
Edapalayam / Nehru Nagar,V,6.809166666666666,7.392166666666668,7.0470625,-0.3421666666666683
Edayanchavadi,I,1.24,1.9424166666666665,1.5494999999999999,-0.7024166666666665
Egmore / Pudupet,V,7.422249999999998,13.181166666666664,9.174958333333333,-5.287833333333332
Elango Nagar,IV,2.04,10.474833333333333,6.054895833333333,-8.434833333333334
Ernavoor,I,2.103333333333333,2.2770833333333336,2.20375,-0.17375000000000052
GD Naidu Nagar East,XIII,1.9838181818181817,2.81,2.356558712121212,0.8261818181818184
GD Naidu Nagar South,XIII,4.653083333333334,5.501916666666666,5.0086458333333335,-0.7219166666666661
Gandhinagar,I,3.43,4.451833333333333,4.0179374999999995,-1.021833333333333
Grace Garden,V,2.7266666666666666,7.429749999999999,4.409625,-4.703083333333333
Guindy East,XIII,1.5408333333333335,1.9603636363636363,1.7226563852813852,0.2991666666666666
Guindy West,XIII,4.091583333333334,4.403333333333333,4.2685,0.1662499999999989
Injampakkam,XV,5.663333333333334,6.381833333333333,6.1081666666666665,-0.5158333333333331
Jalladampettai,XIV,3.6431818181818176,4.22025,3.8857291666666667,-0.4735833333333339
Jeeva Nagar (North),IV,1.4966666666666668,4.375416666666666,2.7535416666666666,-2.8787499999999993
Kaladipettai,I,4.91,5.984916666666667,5.390329545454546,-0.3388181818181817
Kalaignar Karunanidhi Nagar,X,11.827416666666664,14.82275,13.653645833333334,2.2892500000000027
Kallikuppam,VII,4.842083333333334,8.486583333333334,7.0557083333333335,-0.5808333333333344
Kalpalaiyam,III,11.451833333333331,16.361916666666666,13.2870625,-0.8611666666666675
Kamadhenu Nagar,I,3.0737,3.776333333333333,3.436070833333333,-0.2030000000000003
