S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly Average,Year,Post-Monsoon Rise,Recharge Potential,Low Level
1.0,I,1,Kathivakkam,1.85,1.9,1.82,1.89,1.86,1.88,1.92,,1.87,1.74,1.339,1.601,1.788181818181818,2021,-0.1399999999999999,High,Yes
2.0,I,2,Kathivakkam,3.26,3.32,3.36,3.39,3.44,3.48,3.48,1.9,3.48,3.44,2.835,3.174,3.2132500000000004,2021,-0.040000000000000036,High,No
3.0,I,3,Ernavoor,2.17,2.26,2.37,2.34,2.26,2.29,2.39,3.47,2.35,2.11,1.434,1.881,2.2770833333333336,2021,-0.18000000000000016,High,Yes
6.0,I,6,Murugappa Nagar,1.45,1.62,1.71,1.8,1.9,1.96,1.97,3.34,1.91,1.82,0.972,1.31,1.8135000000000001,2021,-0.1399999999999999,High,Yes
7.0,I,7,Raja Shanmugam Nagar,2.05,2.25,2.33,2.53,2.56,2.48,1.77,1.9,1.66,1.54,0.641,1.32,1.91925,2021,-0.94,Low,Yes
8.0,I,8,Gandhinagar,4.3,4.39,4.44,4.51,4.57,4.62,4.98,4.76,4.61,4.53,3.754,3.958,4.451833333333333,2021,-0.08999999999999986,High,No
9.0,I,9,Amsa Thottam,6.55,6.82,7.02,7.24,7.36,7.47,7.25,7.25,7.22,7.04,5.765,6.125,6.925833333333334,2021,-0.4299999999999997,High,No
10.0,I,10,Chinna Mettupalaiyam,4.71,4.9,5.05,5.29,5.47,5.64,5.65,5.73,5.77,5.65,5.782,5.92,5.4635,2021,0.010000000000000675,High,No
12.0,I,12,Sathankadu,3.67,3.76,3.83,3.94,4.03,4.12,4.19,0.6,4.3,4.35,2.918,2.403,3.5092499999999998,2021,0.22999999999999954,High,No
13.0,I,13,Thilagar Nagar,0.52,0.82,1.02,0.36,0.42,0.51,0.55,5.32,0.62,0.65,2.223,,1.1829999999999998,2021,0.14,High,Yes
14.0,I,14,Kaladipettai,5.1,5.21,5.28,5.39,5.45,5.57,5.38,5.34,5.34,5.22,,4.457,5.248818181818182,2021,-0.35000000000000053,High,No
15.0,I,15,Edayanchavadi,1.7,1.81,2.07,2.42,2.66,2.76,1.89,1.87,2.31,2.43,0.405,0.984,1.9424166666666665,2021,-0.3299999999999996,High,Yes
16.0,I,16,Sadayankuppam,1.28,1.87,2.12,2.57,2.86,2.94,2.41,2.5,2.68,2.46,,0.555,2.204090909090909,2021,-0.48,High,Yes
21.0,I,21,Chinna Sekadu (Part),2.76,3.14,3.38,2.7,3.13,3.29,3.44,3.54,3.48,3.46,,2.635,3.1777272727272727,2021,0.16999999999999993,High,No
29.0,III,29,Chinnandi Madam,0.36,0.76,1.13,2.14,2.82,3.23,1.57,1.4,1.31,1.12,,-0.18,1.4236363636363636,2021,-2.11,Low,Yes
30.0,III,30,Alex Nagar,10.31,6.23,6.54,7.16,7.66,8.19,8.05,8.01,8.03,7.65,1.658,1.975,6.788583333333334,2021,-0.5399999999999991,High,No
35.0,IV,35,Thiruvalluvar Nagar,11.43,11.27,11.98,11.38,11.32,11.48,11.4,11.52,11.16,10.92,,6.906,10.978727272727273,2021,-0.5600000000000005,High,No
38.0,IV,38,Dr.Radhakrishnan Nagar (North),2.71,2.92,7.94,3.26,3.17,3.26,3.04,5.34,2.8,2.8,1.605,2.199,3.4203333333333323,2021,-0.45999999999999996,High,No
39.0,IV,39,Cheriyan Nagar North / South,4.66,4.81,7.4,5.07,5.13,5.27,5.12,2.66,4.99,4.82,3.151,3.472,4.712750000000001,2021,-0.4499999999999993,High,No
40.0,IV,40,Jeeva Nagar (North),4.29,4.43,3.66,4.84,5.07,5.29,5.39,5.83,5.53,5.01,1.08,2.085,4.375416666666666,2021,-0.28000000000000025,High,No
42.0,IV,42,Korukkupet,4.15,4.36,6.54,4.73,4.9,5.07,5.15,5.04,4.7,4.52,1.491,1.652,4.358583333333335,2021,-0.5500000000000007,High,No
43.0,IV,43,Tondiarpet,2.91,3.12,7.4,3.55,3.78,3.95,4.0,11.36,3.93,3.88,1.477,1.587,4.245333333333334,2021,-0.07000000000000028,High,No
50.0,V,50,Royapuram,3.85,4.04,4.17,4.28,4.35,4.4,4.42,4.93,4.43,4.42,2.182,2.273,3.9787500000000002,2021,0.019999999999999574,High,No
54.0,V,54,Kondithope / Peddunaickenpet,3.93,4.08,4.22,4.71,4.36,4.28,3.94,4.98,3.9,4.03,2.236,3.042,3.9756666666666667,2021,-0.25,High,No
56.0,V,56,Muthialpet,10.67,11.5,11.51,11.52,11.51,11.52,11.51,11.36,11.46,11.4,11.042,10.944,11.328833333333334,2021,-0.11999999999999922,High,No
58.0,V,58,Poonga Nagar,10.83,10.94,11.03,10.9,10.51,10.47,10.31,10.3,10.29,10.16,8.32,8.584,10.220333333333334,2021,-0.3100000000000005,High,No
60.0,V,60,Vallal Seethakathi Nagar,3.69,3.73,3.76,3.79,3.82,3.84,3.86,3.89,3.9,3.92,3.91,3.899,3.8340833333333335,2021,0.08000000000000007,High,No
62.0,V,62,Chintadripet,2.55,2.83,3.1,3.26,3.24,3.13,2.66,2.58,2.52,2.47,1.11,2.194,2.6369999999999996,2021,-0.6599999999999997,Low,Yes
64.0,VI,64,Kolathur,1.46,1.76,1.96,1.92,2.07,2.08,1.1,0.76,1.18,0.74,0.316,1.444,1.3991666666666667,2021,-1.34,Low,Yes
65.0,VI,65,Venus Nagar,1.72,2.16,2.21,1.92,2.11,2.11,1.41,1.6,1.34,1.03,0.728,1.466,1.6503333333333334,2021,-1.0799999999999998,Low,Yes
83.0,VII,83,Puthagaram,1.09,1.26,1.36,1.56,1.63,1.89,1.73,4.3,0.9,0.64,0.12,0.277,1.3964166666666669,2021,-1.25,Low,Yes
86.0,VII,86,Ayyappakkam,3.19,3.66,4.13,4.54,4.85,5.25,5.39,10.39,5.28,5.15,1.476,2.444,4.645833333333334,2021,-0.09999999999999964,High,No
94.0,VIII,94,Villivakkam North,1.25,1.88,2.08,2.72,4.35,5.04,3.04,2.21,2.1,1.61,0.444,1.152,2.323,2021,-3.4299999999999997,Low,Yes
98.0,VIII,98,Pannerselvam Nagar,4.51,4.48,4.51,4.53,4.58,4.67,4.75,4.74,4.27,4.12,,0.515,4.152272727272727,2021,-0.5499999999999998,High,No
108.0,VIII,108,Aminjikarai Central,1.87,1.98,2.14,2.45,2.71,2.98,2.02,1.85,1.23,1.1,0.69,1.346,1.8638333333333337,2021,-1.88,Low,Yes
111.0,IX,111,Thousand Lights,10.93,11.73,12.06,11.29,9.81,9.73,10.04,11.49,11.62,12.09,9.144,9.098,10.75266666666667,2021,2.3599999999999994,High,No
117.0,IX,117,Sathiyamoorthi Nagar,6.75,6.83,6.81,7.17,6.79,6.67,6.64,7.48,6.93,6.83,2.806,4.65,6.363,2021,0.16000000000000014,High,No
118.0,IX,118,Teynampet,11.6,11.07,10.84,10.78,10.32,10.86,10.73,7.16,10.78,10.67,3.801,4.981,9.466,2021,-0.1899999999999995,High,No
122.0,IX,122,Alwarpet (South),10.39,10.9,11.58,12.38,11.93,12.02,11.75,3.06,12.11,12.09,4.406,8.546,10.096833333333334,2021,0.07000000000000028,High,No
137.0,X,137,Kodambakkam (S),2.02,2.07,2.09,2.5,2.6,2.66,2.16,1.99,1.6,1.22,0.612,1.676,1.9331666666666665,2021,-1.4400000000000002,Low,Yes
138.0,X,138,Kalaignar Karunanidhi Nagar,9.79,10.52,15.48,0.0,14.82,16.24,15.94,15.22,14.49,15.81,6.339,7.28,11.827416666666664,2021,-0.42999999999999794,High,No
140.0,X,140,Kumaran Nagar North / South,2.64,3.32,3.69,3.91,3.66,3.8,3.55,7.96,3.68,3.45,0.579,1.579,3.484833333333334,2021,-0.34999999999999964,High,No
141.0,X,141,VOC Nagar,10.98,11.15,11.39,11.34,10.61,10.49,10.54,10.78,10.84,11.11,7.838,9.269,10.528083333333333,2021,0.6199999999999992,High,No
142.0,X,142,Saidapet East,7.31,7.4,7.54,7.75,7.89,7.97,7.89,7.92,7.84,7.68,4.861,5.031,7.256833333333334,2021,-0.29000000000000004,High,No
144.0,XI,144,Mettukuppam,3.53,4.33,4.97,5.38,5.41,5.78,5.64,5.6,5.54,5.27,0.963,2.221,4.552833333333333,2021,-0.5100000000000007,High,No
146.0,XI,146,Nerkundram,2.2,2.88,3.2,3.49,3.84,4.26,4.11,0.0,4.25,4.2,1.2,0.929,2.879916666666667,2021,-0.05999999999999961,High,No
147.0,XI,147,Maduravoyal,1.23,2.07,2.56,2.75,3.3,3.54,3.44,4.23,3.7,3.56,,0.269,2.786272727272727,2021,0.020000000000000018,High,No
148.0,XI,148,Nerkundram,2.03,2.51,3.06,2.74,3.29,4.02,3.65,3.72,0.0,3.25,0.537,1.36,2.5139166666666664,2021,-0.7699999999999996,Low,Yes
151.0,XI,151,Porur,2.48,3.07,3.49,3.18,3.37,4.66,4.62,3.16,4.77,4.69,0.773,1.485,3.312333333333333,2021,0.03000000000000025,High,No
152.0,XI,152,Valasaravakkam,2.99,3.38,3.73,3.93,4.26,4.78,4.76,4.73,5.0,5.11,1.563,2.188,3.868416666666667,2021,0.33000000000000007,High,No
153.0,XI,153,Porur,3.18,3.62,3.98,4.11,4.41,4.69,4.39,5.02,4.61,4.98,2.397,2.927,4.026166666666668,2021,0.29000000000000004,High,No
154.0,XI,154,Ramapuram,2.95,3.67,4.05,4.19,4.54,5.18,5.03,4.09,4.96,4.78,0.157,1.586,3.76525,2021,-0.39999999999999947,High,No
155.0,XI,155,Ramapuram,3.06,3.26,3.48,4.44,4.81,4.37,4.37,4.88,4.38,4.3,0.44,1.923,3.64275,2021,-0.07000000000000028,High,No
156.0,XII,156,Mugalivakkam,11.82,12.76,14.07,14.67,14.27,15.11,15.12,4.38,15.41,15.22,9.035,11.937,12.816833333333333,2021,0.11000000000000121,High,No
157.0,XII,157,Manapakkam,2.26,3.23,4.02,5.0,5.67,6.48,6.48,15.19,6.62,5.98,0.658,1.91,5.291499999999999,2021,-0.5,High,No
161.0,XII,161,Alandur Part / Adampakkam Part,2.7,2.8,2.61,2.65,2.97,2.71,2.79,4.48,2.55,2.55,1.83,2.634,2.7728333333333333,2021,-0.16000000000000014,High,No
