S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,I,1,Kathivakkam,1.619,1.706,1.72,1.71,1.76,1.68,1.68,1.68,1.54,1.38,1.4,1.427
2,I,2,Kathivakkam,3.202,3.249,3.29,3.3,3.32,3.39,3.4,3.431,3.44,3.4,3.21,3.348
3,I,3,Ernavoor,2.135,2.255,2.3,2.301,2.3,2.11,2.29,2.28,2.22,1.99,1.91,3.113
4,I,4,Sadaiyankuppam,3.321,3.482,3.61,10.36,3.72,3.81,3.8,3.8,3.8,3.45,3.27,3.17
5,I,5,Kamadhenu Nagar,3.211,3.326,3.45,3.52,3.38,3.15,0,,3.52,3.25,,3.93
6,I,6,Murugappa Nagar,1.354,1.486,1.57,1.652,1.68,1.76,1.761,1.774,1.8,1.71,1.71,1.036
7,I,7,Raja Shanmugam Nagar,1.317,1.46,1.58,1.916,1.97,1.4,1.489,1.558,1.56,1.37,1.07,1.39
8,I,8,Gandhinagar,4.053,4.183,4.26,4.343,4.36,4.44,4.478,4.515,4.52,4.41,4.19,5.326
9,I,9,Amsa Thottam,6.276,6.496,6.75,6.989,7.04,6.77,6.77,6.97,7.09,6.82,6.17,5.88
10,I,10,Chinna Mettupalaiyam,3.848,4.032,4.16,4.434,4.49,4.63,4.694,4.83,4.96,4.98,3.95,2.916
11,I,11,Ondikuppam,3.57,3.913,4.25,4.595,4.65,4.52,4.49,4.709,4.77,4.53,3.46,3.094
12,I,12,Sathankadu,2.51,2.67,2.86,3.039,3.09,3.3,3.3,3.3,3.68,3.75,2.75,3.01
13,I,13,Thilagar Nagar,GL,0.431,0.29,0.17,0.15,0.04,0.002,0.044,0.09,0.09,0.09,1.09
14,I,14,Kaladipettai,4.627,4.906,5.14,5.752,5.63,5.24,5.572,5.664,5.78,5.27,5.56,5.87
15,I,15,Edayanchavadi,0.851,1.246,1.6,2.04,2.13,1.53,1.483,2.035,2.07,1.47,0.74,1.74
16,I,16,Sadayankuppam,0.474,0.886,1.31,1.76,1.86,1.28,1.444,1.752,1.59,1.11,0.32,1.23
17,I,17,Theeumpakkam,0.276,0.852,1.48,2.13,2.69,1.48,1.654,2.233,2.07,1.02,0.08,1.39
18,I,18,Manali,1.602,2.212,2.77,5.79,5.62,5.2,5.522,3.708,5.91,6.34,4.25,3.543
19,I,19,Chinna Mathur,4.476,4.764,5.55,6.83,6.93,6.38,6.349,6.916,7,7.03,,7.09
20,I,20,Mathur,4.606,6.763,6.19,8.49,8.15,7.76,7.646,7.524,7.32,7.79,5.65,8.202
21,I,21,Chinna Sekadu (Part),2.605,2.865,3.09,1.91,2.12,2.67,1.448,2.938,3.01,1.19,0.43,1.745
22,III,22,Kavankarai,2.73,2.563,2.75,4.213,3.7,2.02,2.318,2.891,2.9,2.63,3.03,3.79
23,III,23,Puzhal,5.908,7.55,8.49,8.86,8.88,6.25,6.59,8.199,8.62,6.15,5.59,6.22
24,III,24,Surappattu,2.568,3.75,8.3,14.482,16.01,12.98,10.627,15.078,17.56,15.97,3.12,3.032
25,III,25,Kathirvedu,3.503,6.318,10.08,14.067,14.46,13.51,11.43,13.16,14.66,12.74,5.35,4.518
26,III,26,Madhavaram,2.896,4.353,8.15,12.897,11.71,7.18,5.786,10.266,11.85,9.17,2.94,4.406
27,III,27,Milk Colony,1.999,2.881,3.65,5.196,5.37,5.37,11.43,5,6.21,5.67,2.11,5.324
28,III,28,Chinna Sekadu,1.216,1.73,2.23,2.727,2.84,3.53,2.897,3.285,3.46,3.25,1.91,4.4
29,III,29,Chinnandi Madam,GL,0.26,0.64,1.157,1.26,1.192,0.316,0.671,0.8,0.87,0.59,2.448
30,III,30,Alex Nagar,1.765,2.293,2.98,4.069,4.26,4.1,4.21,4.913,5.212,4.82,10.29,11.33
