S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,I,1,Kathivakkam,1.48,1.52,1.462,1.5,1.53,1.554,1.688,1.599,1.61,1.53,1.29,1.38
2,I,2,Kathivakkam,3.26,3.293,3.31,3.36,3.36,3.382,3.416,3.459,3.47,3.48,3.35,3.268
3,I,3,Ernavoor,2.01,2.236,2.244,2.24,2.14,2.166,2.231,2.51,2.264,2.24,1.82,1.91
4,I,4,Sadaiyankuppam,3.67,3.745,3.661,3.66,3.65,3.638,3.808,4.01,3.646,3.67,3.27,3.125
5,I,5,Kamadhenu Nagar,3.45,3.492,3.439,3.31,3.41,3.151,3.499,3.28,3.393,3.2,3.07,3.157
6,I,6,Murugappa Nagar,1.58,1.674,1.727,1.77,1.74,1.766,1.762,1.767,1.722,1.715,1.03,0.4
7,I,7,Raja Shanmugam Nagar,1.48,1.56,1.65,1.85,2.1,2.25,1.721,1.62,1.7,1.62,0.97,1.27
8,I,8,Gandhinagar,4.22,4.303,4.36,4.41,4.43,3.992,3.884,3.56,3.656,3.806,2.42,2.16
9,I,9,Amsa Thottam,6.37,6.7,6.7,6.95,7.1,6.952,7.121,6.969,6.869,7.007,6.18,6.05
10,I,10,Chinna Mettupalaiyam,4.49,4.836,5.041,5.49,5.77,5.628,5.834,5.611,5.448,5.689,4.32,3.681
11,I,11,Ondikuppam,3.6,3.6,5.015,4.62,4.79,4.686,4.85,4.681,4.604,4.718,3.67,3.257
12,I,12,Sathankadu,2.92,3.1,3.204,3.44,3.55,0,3.802,3.917,3.975,4.028,3.05,1.941
13,I,13,Thilagar Nagar,1.21,1.36,1.424,1.5,1.52,1.587,1.622,1.649,1.671,1.686,0.64,0.684
14,I,14,Kaladipettai,5.98,6.54,6.8,7.1,7.5,5.641,5.721,5.858,5.7,5.692,4.65,4.637
15,I,15,Edayanchavadi,1.22,1.561,1.78,1.65,1.65,1.765,1.915,1.545,1.45,1.737,0.4,0.579
16,I,16,Sadayankuppam,1.1,1.55,1.437,1.08,1.48,1.338,1.544,1.225,1.313,1.02,0.16,0.259
17,I,17,Theeumpakkam,0.87,1.3,1.303,1.25,1.99,1.91,2.627,1.742,0.918,1.577,0.59,1.17
18,I,18,Manali,5.13,6.02,6.54,5.49,5.59,5.77,6.636,6.908,0.879,2.655,5,5.583
19,I,19,Chinna Mathur,4.48,5.154,5.554,5.98,6.58,7.096,7.45,7.25,6.428,6.75,5.15,2.802
20,I,20,Mathur,5.96,6.532,6.566,6.68,6.73,7.56,7.58,7.304,7.41,7.845,4.74,4.137
