S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar
1,I,1,Kathivakkam,1.38,1.43,1.48
2,I,2,Kathivakkam,3.31,3.34,3.38
3,I,3,Ernavoor,1.93,2.15,2.23
4,I,4,Sadaiyankuppam,3.05,3.51,3.69
5,I,5,Kamadhenu Nagar,3.31,3.65,3.76
6,I,6,Murugappa Nagar,0.21,0.27,0.45
7,I,7,Raja Shanmugam Nagar,1.42,1.6,1.77
8,I,8,Gandhinagar,3,3.48,3.81
9,I,9,Amsa Thottam,6.26,6.47,6.72
10,I,10,Chinna Mettupalaiyam,4.1,4.52,5.01
11,I,11,Ondikuppam,3.57,3.91,4.26
12,I,12,Sathankadu,2.2,2.46,5.01
13,I,13,Thilagar Nagar,0.83,0.99,1.12
14,I,14,Kaladipettai,4.09,5.18,5.46
15,I,15,Edayanchavadi,0.86,1.21,1.65
16,I,16,Sadayankuppam,0.44,0.8,1.14
17,I,17,Theeumpakkam,1.59,2.11,2.91
18,I,18,Manali,6,6.65,6.89
19,I,19,Chinna Mathur,4.38,5.45,6.47
20,I,20,Mathur,5.26,5.71,7.07
21,I,21,Chinna Sekadu (Part),2.15,2.79,3.14
22,III,22,Kavankarai,4.05,4.64,5.62
23,III,23,Puzhal,7.26,9.16,9.35
24,III,24,Surappattu,4.01,6.68,15
25,III,25,Kathirvedu,4.19,6.28,13.47
26,III,26,Madhavaram,4.25,8.25,12.74
27,III,27,Milk Colony,2.32,3.52,5.03
28,III,28,Chinna Sekadu,1.55,2.71,2.55
29,III,29,Chinnandi Madam,0.96,1.32,2.21
30,III,30,Alex Nagar,10.32,10.31,10.29
31,III,31,Moolakadai,2.6,3.27,4.17
32,III,32,Kalpalaiyam,9.71,10.98,16.02
33,III,33,Thatankulam,3.6,4.14,5.48
34,IV,34,Kodungaiyur (West),1.77,2.58,3.42
35,IV,35,Thiruvalluvar Nagar,3.11,4.79,6.12
36,IV,36,Perambur (East),3.41,4.79,6.12
37,IV,37,Kodungaiyur (East),2.45,2.67,3.13
38,IV,38,Dr.Radhakrishnan Nagar (North),2.42,2.67,2.86
39,IV,39,Cheriyan Nagar North / South,3.69,3.99,4.3
40,IV,40,Jeeva Nagar (North),1.62,1.7,1.17
41,IV,41,Vyasarpadi North / Kumarasamy Nagar North,1.74,2.1,2.17
42,IV,42,Korukkupet,2.01,2.45,2.87
43,IV,43,Tondiarpet,1.61,1.93,2.27
44,IV,44,Perambur (North),4.9,5.23,5.67
45,IV,45,Elango Nagar,1.66,2.03,2.43
46,IV,46,Vyasarpadi (South),2.19,2.64,2.82
47,IV,47,Dr.Radhakrishnan Nagar (South),1.84,2.16,2.34
48,IV,48,Mottai Thottam,2.22,2.82,3.06
49,V,49,Grace Garden,2.23,2.73,3.22
50,V,50,Royapuram,1.8,1.93,2.01
51,V,51,Narayana Garden / Old Washermenpet,2.86,3.28,3.8
52,V,52,Meenakshiammanpet,3.02,3.41,3.89
53,V,53,Basin Bridge,removed,removed,removed
54,V,54,Kondithope / Peddunaickenpet,3.49,3.89,4.14
55,V,55,Seven Wells (North / South),4.91,5.37,5.88
56,V,56,Muthialpet,10,9.96,10.01
57,V,57,Sowcarpet,4.7,5.21,5.79
58,V,58,Poonga Nagar,8.43,9.29,9.95
59,V,59,Edapalayam / Nehru Nagar,6.35,7.14,7.66
60,V,60,Vallal Seethakathi Nagar,4.04,4.04,4.09
61,V,61,Egmore / Pudupet,6.87,7.78,9.03
62,V,62,Chintadripet,2.4,2.73,3.15
63,V,63,Komaleeswaranpet,3.23,4.24,5
64,VI,64,Kolathur,1.85,2.2,2.55
65,VI,65,Venus Nagar,0.98,1.3,1.62
66,VI,66,Agaram (North),2.14,2.43,3
67,VI,67,Agaram (South),4.05,5.13,6.1
68,VI,68,Sembium,2.93,4.17,5.71
69,VI,69,Siruvallur,Demolished,Demolished,Demolished
70,VI,70,Perambur (South),7.71,8.37,9.27
71,VI,71,Thiru Vi Ka Nagar,9.87,8.91,9.01
72,VI,72,Dr Sathiyavanimuthu Nagar,2,2.52,3.03
73,VI,73,Pulianthope,6.17,7.23,8.41
74,VI,74,Maraimalai Adikal Nagar,4.36,5.23,6.13
