Location,Area No.,Post-Monsoon Rise,Rank
Sathankadu,I,1.569333333333333,1.0
Chinna Mettupalaiyam,I,0.14033333333333373,2.0
Thilagar Nagar,I,0.09633333333333333,3.0
Kathivakkam,I,-0.06600000000000006,4.0
Ernavoor,I,-0.07533333333333325,5.0
Alex Nagar,III,1.5633333333333335,1.0
Moolakadai,III,-0.004000000000000152,2.0
Kavankarai,III,-0.26933333333333326,3.0
Chinna Sekadu,III,-0.43000000000000016,4.0
Milk Colony,III,-0.4826666666666668,5.0
Tondiarpet,IV,0.22733333333333317,1.0
Thiruvalluvar Nagar,IV,0.18666666666666654,2.0
Cheriyan Nagar North / South,IV,0.18000000000000016,3.0
Jeeva Nagar (North),IV,0.05333333333333338,4.0
Korukkupet,IV,0.01666666666666646,5.0
Thousand Lights,IX,3.3156666666666665,1.0
Krishnampet,IX,0.5416666666666666,2.0
Teynampet,IX,0.17233333333333345,3.0
Vivekanandhapuram,IX,0.05233333333333349,4.0
Chepauk,IX,-0.3333333333333333,5.0
Seven Wells (North / South),V,0.2866666666666668,1.0
Kondithope / Peddunaickenpet,V,0.156333333333333,2.0
Sowcarpet,V,0.09199999999999993,3.0
Royapuram,V,0.07499999999999973,4.0
Vallal Seethakathi Nagar,V,0.046333333333333115,5.0
Choolai,VI,0.1436666666666667,1.0
Kolathur,VI,-0.23566666666666672,2.0
Venus Nagar,VI,-0.42433333333333323,3.0
Siruvallur,VI,-0.5100000000000003,4.0
Pulianthope,VI,-0.5656666666666664,5.0
Ayyappakkam,VII,0.029999999999999954,1.0
Puthagaram,VII,-0.41100000000000003,2.0
Maduravoyal (Part) / Nerkundram (Part),VII,-0.664,3.0
Anna Nagar West Extension,VII,-0.7273333333333333,4.0
Nolambur (Part) / Mugappair Eri Scheme,VII,-0.8009999999999998,5.0
Pannerselvam Nagar,VIII,-0.3129999999999999,1.0
Chetpet / Kilpauk South,VIII,-0.4480000000000001,2.0
Vasantham Colony,VIII,-0.4796666666666667,3.0
Shenoy Nagar,VIII,-0.7146666666666669,4.0
Anna Nagar (East),VIII,-0.7463333333333333,5.0
Virugambakkam South,X,0.15166666666666653,1.0
VOC Nagar,X,0.01266666666666616,2.0
Thiyagaraya Nagar,X,-0.10433333333333324,3.0
Kumaran Nagar North / South,X,-0.28533333333333327,4.0
Kodambakkam North,X,-0.5056666666666666,5.0
Ramapuram,XI,-0.08033333333333337,1.0
Maduravoyal,XI,-0.15766666666666662,2.0
Mettukuppam,XI,-0.23466666666666688,3.0
Porur,XI,-0.305,4.0
Valasaravakkam,XI,-0.307,5.0
Alandur Part / Adampakkam Part,XII,-0.16666666666666666,1.0
Nanganallur,XII,-0.18900000000000006,2.0
Mugalivakkam,XII,-0.3649999999999993,3.0
Nanganallur Part / Pazhavanthangal Part,XII,-0.3663333333333334,4.0
Adampakkam Part / Balaji Nagar,XII,-0.41499999999999976,5.0
GD Naidu Nagar South,XIII,1.3346666666666664,1.0
Adyar East,XIII,0.8830000000000001,2.0
Guindy West,XIII,0.3253333333333332,3.0
GD Naidu Nagar East,XIII,0.17699999999999982,4.0
Adyar West,XIII,0.05000000000000012,5.0
Kottivakkam,XIV,0.19466666666666654,1.0
Palavakkam,XIV,-0.2020000000000001,2.0
Madipakkam,XIV,-0.715,3.0
Perungudi,XIV,-0.7778333333333336,4.0
Puzhuthivakkam,XIV,-1.0673333333333332,5.0
Uthandi,XV,1.1833333333333333,1.0
Neelankarai,XV,0.14350000000000018,2.0
Okkiyam Thuraipakkam,XV,-0.23266666666666666,3.0
Injampakkam,XV,-0.29600000000000026,4.0
Semmenchery,XV,-0.5083333333333332,5.0
